,id,synopsis,movie_rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,review,review_rating,fresh,critic,top_critic,publisher,date
16590,673,"James Robert Kennedy--nicknamed 'Radio' because of his vintage radio collection and his love of music--is a loner in Anderson, South Carolina, pushing his ever-present grocery cart up and down the streets. He speaks to no one and is rarely spoken to, until one day, Coach Harold Jones, one of the town's most respected men, and coach of the popular high school football team, befriends him. Radio is suspicious at first. But Coach Jones is persistent, even enlisting the help of Radio's mother. Jones' friends and family are taken aback as well since, until he met Radio, all his energies were poured exclusively into football. Slowly, Coach Jones earns Radio's trust and opens up a new world to him. He invites Radio to help out at football practice and during games and to sit in on his classes at school, despite the initial misgivings of Principal Daniels. He also champions him to the football players, the students and faculty. Coach Jones' life is also enriched by Radio, from whom he learns to value friendship and family ties as much as he does coaching football. Still, there are those in town who believe that Coach Jones' devotion to the young man is distracting him from his duties as head coach of the football team. There are several attempts to have Radio barred from the classroom and, after his mother's untimely death, remanded to a mental-health facility. Coach Jones valiantly fights off these efforts, but he is finally forced to make a difficult decision, which will impact both his growing friendship with Radio and his career as a football coach.",PG,Drama,Mike Tollin|Michael Tollin,Mike Rich,"Oct 24, 2003","Jan 27, 2004",$,52277485,109 minutes,Sony Pictures Entertainment,Leave it to Hollywood to make a movie called Radio that would play better on TV.,0.6,rotten,Joel Siegel,0,Good Morning America,"January 4, 2018"
16648,674,"When 22 year-old drug dealer Chris (Hirsch) has his stash of drugs stolen from him by his mother, he has to come up with six-thousand dollars quick, or he's dead. Desperate, he goes to the trailer-park to see his father, Ansel (Hayden Church), and he lays out the plan. Chris's mother, who everyone hates, has a life insurance policy that would clear up his debt and make them all rich. The problem is that Chris' mother is very much alive. Enter Detective ""Killer"" Joe Cooper, a hired hit man with the manners of a Southern gentleman, who will do the job - for an upfront fee, that Chris and Ansel can't pay. Just as Joe is about to leave, he spots Dottie (Temple), Chris' innocent younger sister. Joe makes Chris an offer, he'll keep Dottie as sexual collateral until the money is collected and his fee can be paid. -- (C) Voltage Pictures",R,Comedy|Mystery and Suspense,William Friedkin,Tracy Letts,"Jul 27, 2012","Dec 21, 2012",$,1800000,102 minutes,Independent Pictures,"Killer Joe's scenes are long and dialogue is of a high quality; by turns funny and absurd, yet also desperately sad.",0.8,fresh,John Bleasdale,0,CineVue,"October 4, 2018"
16840,685,"Adapted from Bob Glaudini's play of the same name, Philip Seymour Hoffman's directorial debut, Jack Goes Boating, tells the simple tale of Jack (Hoffman), a shy, fortyish limo driver with a fondness for pot and reggae music -- he likes it because it sounds happy -- who meets Connie (Amy Ryan) for a blind date set up by Connie's co-worker Lucy (Daphne Rubin-Vega), who is married to Jack's best friend and fellow limo driver, Clyde (John Ortiz). As the young couple tentatively come together, breaking through layers and layers of awkwardness and low self-esteem, Clyde and Lucy's marriage begins to dissolve because of Clyde's inability to get over an incident from their past. All the while, Clyde gives Jack swimming lessons so that he can take Connie on her dream date -- a boating trip on the lake.",R,Comedy|Romance,Philip Seymour Hoffman,Bob Glaudini,"Sep 17, 2010","Jan 18, 2011",$,300000,91 minutes,Fox Searchlight,"Refreshingly optimistic without idealization, Jack Goes Boating gives us a fantastic cast and manages to be charming and witty without sacrificing integrity.",0.9,fresh,Blake Griffin,0,We Got This Covered,"November 11, 2013"
16935,686,"Set in a dystopic present where vigilant gargoyles and ferocious demons rage in a battle for ultimate power, Victor Frankenstein's creation Adam (Aaron Eckhart) finds himself caught in the middle as both sides race to discover the secret to his immortality. From the creators of the hit supernatural saga, UNDERWORLD, comes the action thriller I, FRANKENSTEIN, written for the screen and directed by Stuart Beattie based on the graphic novel ""I, Frankenstein"" by Kevin Grevioux, and brought to life by a cast that includes Aaron Eckhart, Bill Nighy, Yvonne Strahovski, Miranda Otto, Jai Courtney, Socratis Otto, Mahesh Jadu, Caitlin Stasey and Aden Young as Victor Frankenstein. (c) Lionsgate",PG-13,Horror|Mystery and Suspense|Science Fiction and Fantasy,Stuart Beattie,Stuart Beattie,"Jan 24, 2014","May 13, 2014",$,15687400,92 minutes,Lionsgate Films,"Shockingly, talented performers such as Eckhart and the usually reliable character actor Nighy singed on the dotted line for this fetid fishbowl of a frightfest that seems as inconsequential as a pair of Frankenstein's high-water pants.",0.38,rotten,Frank Ochieng,0,SF Crowsnest,"November 10, 2018"
17060,689,"""Inherent Vice,"" is the seventh feature from Paul Thomas Anderson and the first ever film adaption of a Thomas Pynchon novel. When private eye Doc Sportello's ex-old lady suddenly out of nowhere shows up with a story about her current billionaire land developer boyfriend whom she just happens to be in love with, and a plot by his wife and her boyfriend to kidnap that billionaire and throw him in a looney bin...well, easy for her to say. It's the tail end of the psychedelic",R,Drama|Mystery and Suspense,Paul Thomas Anderson,Paul Thomas Anderson,"Jan 9, 2015","Apr 28, 2015",$,6100613,148 minutes,Warner Bros. Pictures,"I connected on an emotional level with it the first time, but I suspect I may find it better on repeat viewings; there is a masterpiece in there somewhere, I just have to dig deeper to find it.",0.8,fresh,Alistair Ryder,0,Cinemole,"October 24, 2018"
17560,714,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",R,Comedy,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,"Jun 26, 2015","Dec 15, 2015",$,63883740,120 minutes,Universal Pictures,"It's funny and all, sometimes extremely funny, but it often seems as rough and worn as the plastic nose on Ted's face.",0.6,rotten,Johnny Gayzmonic,0,Fanboys of the Universe,"October 30, 2018"
17671,715,"This psychological thriller from screenwriter Patrick Smith Kelly reunites him with his A Perfect Murder (1998) star Michael Douglas. Dr. Nathan Conrad (Douglas) is a respected adolescent therapist faced with a nightmarish scenario when his young daughter (Skye McCole Bartusiak) is snatched by Koster (Sean Bean), a criminal with a talent for high-tech surveillance. Conrad learns that the kidnapper is desperate for a critical piece of information known only to Elisabeth Burrows (Brittany Murphy), one of his catatonic pro bono patients. While his wife Aggie (Famke Janssen) remains at home, bedridden due to a broken leg, Conrad races to unlock the secret stored in Elisabeth's fractured mind, while a New York City detective (Jennifer Esposito) inches closer to discovering the Conrads' dilemma. Don't Say a Word co-stars Oliver Platt and Guy Torry and is directed by Gary Fleder, who follows up his suspense smash Kiss the Girls (1997).",R,Drama|Mystery and Suspense,Gary Fleder,Patrick Kelly|Anthony Peckham,"Sep 28, 2001","Feb 19, 2002",$,54218420,110 minutes,20th Century Fox,"As generic as the title suggests, this routine psychological thriller about a yuppie shrink whose daughter is kidnapped can't be saved by Michael Douglas's screen presence.",0.4,rotten,Emanuel Levy,0,EmanuelLevy.Com,"June 13, 2006"
18207,755,"Directing his first film since 1998's Lethal Weapon 4, Richard Donner helmed this big-budget adaptation of Michael Crichton's novel of the same name. Featuring a script by first-time screenwriter George Nolfi, Timeline begins in France in the near future. A group of students from Yale are there studying a medieval site, when their professor, played by Billy Connolly, mysteriously goes missing. To make matters more enigmatic, the students are then taken back to the United States by a shadowy technology company called ITC, led by Robert Doniger (David Thewlis). The eccentric Doniger explains that because of a machine that his company built, their professor is trapped in 14th century France. In order to rescue him, two of the students, Chris Hughes (Paul Walker) and Kate Erickson (Frances O'Connor), along with Andre Marek (Gerard Butler), an archeological site manager, must travel to France, circa 1357, amid archaic war, deadly diseases, and other unexpected pitfalls. Meanwhile, David Stern (Ethan Embry), a third student, stays behind to keep an eye on the shady Doniger.",PG-13,Action and Adventure|Science Fiction and Fantasy,Richard Donner,Jeff Maguire|George Nolfi,"Nov 26, 2003","Apr 13, 2004",$,19375474,116 minutes,Paramount Pictures,a great example of a woulda-coulda-shoulda movie,0.5,rotten,Kevin Carr,0,Fat Guys at the Movies,"January 12, 2016"
18326,756,"Based on a true story, U.S. Customs agent ROBERT ""BOB"" MAZUR (Bryan Cranston) goes deep undercover to infiltrate Pablo Escobar's blood-soaked drug trafficking scene plaguing the nation in 1985 by posing as slick, money-laundering businessman Bob Musella. Teamed with impulsive and streetwise fellow agent EMIR EBREU (John Leguizamo) and rookie agent posing as his fianc",R,Drama,Brad Furman,Ellen Brown Furman,"Jul 13, 2016","Oct 11, 2016",$,15425870,127 minutes,Broad Green Pictures,"Picture this as a ""Goodfellas"" with Bryan Cranston. ",0.7,fresh,Rendy Jones,0,Rendy Reviews,"August 30, 2018"
18847,771,"From the creators of Scary Movie and Date Movie comes this tongue-in-cheek parody of the sword-and-sandal epics, dubbed Meet the Spartans. The 20th Century Fox production was written and directed by the filmmaking team of Jason Friedberg and Aaron Seltzer. Sure, Leonidas may have nothing more than a cape and some leather underwear to protect him from the razor-sharp swords of his Persian enemies, but that won't stop the brave leader and his team of 13 warriors from defending their beloved homeland against a powerful invading force that includes the likes of a mutant Paris Hilton, the Transformers, the Ghost Rider, and Rocky Balboa.",PG-13,Comedy,Jason Friedberg|Aaron Seltzer,Aaron Seltzer|Jason Friedberg,"Jan 25, 2008","Jun 3, 2008",$,38200000,84 minutes,20th Century Fox,"Meet The Spartans? For those unlucky enough to be lured into the cinema, there's every chance you'll be wanting to meet your maker instead.",0.2,rotten,Ben Rawson-Jones,0,Digital Spy,"July 14, 2011"
18887,773,First-time director Vincent Gallo stars in this self-consciously stylized story of a social misfit who's rescued from emotional annihilation by the girl he kidnaps.,R,Art House and International|Comedy|Drama,Vincent Gallo,Vincent Gallo|Alison Bagnall,"Jun 26, 1998","Feb 1, 2000",$,2365931,110 minutes,,"Gallo's poor, poor pitiful me routine wears very thin, very fast, but Ricci is incandescent, a softly-glowing dumpling of a dream-girl in powder-blue fishnet tights and sparkly tap shoes.",0.4,rotten,Maitland McDonagh,0,TV Guide,"August 30, 2016"
